Table 1
,,,,,,
,The Movement for Palestine Takes Over MoMA,The Nation,12 hours ago,Hundreds of protesters occupied the storied museum in a reminder that theart world cannot evade its political and moral responsibilities.,,
,Three guilty of terror offence over paraglider images at UK Palestine march,The Guardian,1 day ago,Photos displayed at protest a week after Hamas militants attacked Israel on7 October last year.,,
,Pro-Palestinian activists respond to Israel’s Super Bowl ad,Al Jazeera,2 days ago,Pro-Palestinian activists have been sharing a video in response to anIsraeli advert for the Super Bowl.,,
,We won't be silenced': Meta removes Instagram accounts of pro-Palestineadvocacy group,Middle East Eye,1 day ago,Pro-Palestinian activists have complained of suppression of speech sincethe war on Gaza began on 7 October.,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,"Mohammed Dahlan, a Palestinian Exile, on an Arab Vision for Gaza",The New York Times,47 mins ago,"Mohammed Dahlan, who advises the United Arab Emirates, provided publicinsights into what Arab governments are privately planning for the...",,
,Not Looking Away - Brené Brown,Brené Brown,21 hours ago,"I continue to be overwhelmed by the violence, trauma, and sheer magnitudeof the Israel-Hamas war. I'm deeply connected to the Jewish...",,
,Shake the city up': Large pro-Palestinian rally marches through CenterCity blocking traffic,NBC10 Philadelphia,18 hours ago,"While waving the Palestinian flag and holding signs reading 'Stop killingPalestinian children,' hundreds gathered in Center City on Tuesday...",,
,Airstrike from Israeli hostage rescue wipes out entire Palestinian familyin Gaza border town,AP News,17 hours ago,Ibrahim Hasouna was staying with a friend when he heard about the Israeliairstrikes near the house where his family was staying.,,
,Journalist casualties in the Israel-Gaza war,Committee to Protect Journalists,11 hours ago,Editor's notes: The list below is CPJ's most recent and preliminary accountof journalist deaths in the war. Our database will not include...,,
,MIT Joins List of Universities Banning pro-Palestinian Student Groups forBreaking Rules - U.S. News,Haaretz,5 hours ago,"It Is the Latest in a Growing List of Schools That Are Cracking Down onpro-Palestinian Student Organizations, Citing Similar Grounds.",,
,Nowhere Left to Go in Gaza as Israel's Ground Assault on Rafah Looms,The Intercept,10 hours ago,Guest host Sharif Abdel Kouddous is joined by analyst and author TareqBaconi to discuss the escalating war in Gaza and the history of...,,
,No Mardi Gras mask can hide genocide’: the pro-Palestine activism of thisyear’s carnival,The Guardian,1 day ago,"New Orleans carnival attendees have long protested against injustice – thisyear, Palestinian solidarity is part of the picture.",,
,Ceasefire Resolution Still Seems Unlikely in Austin,The Texas Observer,4 hours ago,"Mayor Kirk Watson condemned last week's attack after a pro-Palestine rally,while warning against a ceasefire resolution.",,
,,,,,,
,,,,,,
,Conflict can only be solved by direct negotiations says Sa'ar,The Jerusalem Post,2 hours ago,"Rather than solve the Israeli-Palestinian conflict, the unilateralrecognition of a Palestinian state will perpetuate it,...",,
,Pro-Palestinian protesters briefly block Golden Gate Bridge lanes,San Francisco Chronicle,4 hours ago,Pro-Palestinian protesters briefly blocked several lanes of the Golden GateBridge Wednesday morning. The protest began around 7:45 a.m. and...,,
,"To Palestine, With Love - CODEPINK - Women for Peace",CODEPINK - Women for Peace,5 hours ago,"This Valentine's Day, CODEPINK sends all of our love to all of Palestineand lift up the Palestinian struggle.",,
,Exiled Palestinian official: Arab states will support an independent leaderin Gaza,The Times of Israel,5 hours ago,An independent Palestinian leader backed by Arab peacekeepers could overseethe reconstruction of Gaza after the war between Israel and...,,
,Rumor About Palestine Flag Raising In West Orange Is Untrue: Advocates,Patch,55 mins ago,"Rumor About Palestine Flag Raising In West Orange Is Untrue: Advocates -West Orange, NJ - Was a flag raised without permission at Town Hall...",,
,Israel Sent Palestinian Prisoner to Tell Nasser Hospital to Evacuate,The Intercept,3 hours ago,"Israel sent a handcuffed Palestinian prisoner into Gaza's Nasser Hospitalto order an evacuation, then killed him when he left.",,
,Where is Palestine? | Ron Diller | The Blogs,The Times of Israel,2 hours ago,"Great question. Certainly, there's the Palestinian Liberation Organization(PLO), a terrorist group that Arafat formed in 1964.",,
,Atlanta stands with Rafah: Emergency protest draws hundreds in solidaritywith Palestine,Fight Back! News,3 hours ago,"Atlanta, GA - In a powerful display of solidarity with the people ofPalestine, over 400 Atlantans gathered for an emergency protest on...",,
,Opinion | Why Marwan Barghouti Is So Popular,The New York Times,11 hours ago,A senior Hamas leader this month declared that any deal to end the fightingin Gaza must include the release of Marwan Barghouti.,,
,,,,,,
,,,,,,
,Ethel Cain shares new song for Palestine,BrooklynVegan,2 hours ago,"Ethel Cain has shared a new piano ballad dedicated to the people ofPalestine. The haunting, nine-minute song is called “من النهر,” which...",,
,The way forward for Palestine: A call for international protection,Al Jazeera,5 days ago,In the wake of the landmark International Court of Justice (ICJ) rulingthat Israel is plausibly engaged in a genocide of the Palestinian...,,
,MoMA Workers Urge Museum to Address Israel's Attacks on Palestine,Hyperallergic,1 day ago,"We respectfully urge our institution to consider the impact of itssilence,” reads the workers' open letter.",,
,"Elite Capture and Racial Capital, from the University to Palestine",Public Seminar,4 hours ago,"A conversation on racial capital, the New School strike, justice inPalestine, and political organizing across identity differences.",,
,Feds investigating East Palestine train derailment,Mahoning Matters,1 hour ago,The National Safety Transportation Board will hold investigatory hearingsto find the cause of last year's train derailment in East...,,
,UNRWA leader: Calls for dismantling Palestine relief agency ‘short-sighted’,The Hill,22 hours ago,"Philippe Lazzarini, the head of the United Nations Relief and Works Agencyfor Palestine Refugees in the Near East (UNRWA), said that calls...",,
,Families of detained Palestinian Americans decry US government’s silence,Al Jazeera,1 day ago,"Three Palestinian Americans were detained last week by Israeli forces, buttheir families say the US has yet to step in.",,
,Pro-Palestine Protesters Disrupt Tania Bruguera Performance in Berlin,Hyperallergic,2 days ago,"Pro-Palestine protesters disrupted a performance by Cuban artist andactivist Tania Bruguera at Berlin's Hamburger Bahnhof on Saturday,...",,
,Antisemitic writings' found in search of Joel Osteen megachurch shooter'sitems,NBC News,2 days ago,Antisemitic writings” were found in a search of items belonging to theshooter who opened fire Sunday afternoon at Joel Osteen's Lakewood...,,
,,,,,,
,,,,,,
,"Pro-Palestine protest shut down roads near Pioneer Park in Salt Lake City,Utah",ABC4 Utah,20 hours ago,"SALT LAKE CITY (ABC4) — More than 100 people gathered in the street nearPioneer Park to show their support for Palestine on Tuesday night,...",,
